編號,韓文,羅馬拼音,中文,英文
4966,한국적,hangukjeok,具韓國特色的、韓國風的,Korean (adjective)
4967,햄,haem,火腿,Ham
4968,환영,hwanyeong,歡迎,Welcome
4969,가로수,garosu,行道樹,A roadside tree
4970,간식,gansik,點心、零食,Snack
4971,감,gam,柿子,Persimmon
4972,개다,gaeda,放晴、轉晴,To clear up or become clear (weather)
4973,고급스럽다,gogeupseureopda,顯得高級、高貴,To be high-class
4974,고소하다,gosohada,香醇、香脆 / 活該、痛快,Taste of sesame oil or taste of a nut
4975,공주,gongju,公主,A royal princess
4976,깨어지다,kkaeeojida,破碎、破裂、破滅,"To break, smash, be shattered"
4977,남,nam,南方、南邊,The south
4978,네거리,negeori,十字路口,Crossroads
4979,노란색,noransaek,黃色,Yellow
4980,녹음하다,nogeumhada,錄音,To record
4981,달러,dalreo,美元,Dollar
4982,대여섯,daeyeoseot,大約五六個,About five or six
4983,되돌아보다,doedoraboda,回顧、回頭看,To look back on
4984,마사지,masaji,按摩,Massage
4985,만,man,"萬（數字 10,000）",10000
4986,먹히다,meokhida,被吃掉 / 奏效、吃香,"to be eaten,swallowed"
4987,몸살,momsal,全身痠痛、疲勞病,Flu aches and pains
4988,무더위,mudeowi,酷熱、悶熱,High humidity
4989,무용가,muyongga,舞蹈家,Dancer
4990,박스,bakseu,紙箱、盒子,Box
4991,반기다,bangida,高興地迎接、歡喜,"Rejoice, be glad of"
4992,밥솥,bapsot,電鍋、飯鍋,Pressure cooker for rice
4993,베개,begae,枕頭,A pillow
4994,벨트,belteu,皮帶、安全帶,Belt
4995,복사하다,boksahada,影印、複印、複製,"reproduce,copy"
4996,붓다,butda,浮腫、腫脹 / 倒入,to be swollen
4997,비,bi,石碑、碑,A monument
4998,사계절,sagyejeol,四季、春夏秋冬,The four seasons
4999,사과하다,sagwahada,道歉、謝罪,To apologize
5000,사투리,saturi,方言、方音,A dialect
